Order No,Order Date,Order Year,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Order Quantity,Cost Price,Retail Price,Profit Margin,Total
5375-1,1/14/2014,2014,Nat Gilpin,"274 Canley Vale Rd,Canley Heights",Sydney,NSW,Consumer,Leighton Forrest,Not Specified,3Max Organizer Strips,Office Supplies,Small Box,14,$3.40 ,$5.40 ,$2.00 ,$76.58 
5377-1,1/14/2014,2014,Fred Wasserman,"61 York St,Sydney",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Fluorescent Highlighters by DrawIt,Office Supplies,Wrap Bag,41,$1.95 ,$3.98 ,$2.03 ,$152.59 
5379-1,1/15/2014,2014,Aleksandra Gannaway,"508/130 Mounts Bay Road, Perth",Perth,WA,Corporate,Tina Carlton,Medium,Apex Straight Scissors,Office Supplies,Small Pack,34,$5.19 ,$12.98 ,$7.79 ,$426.81 
5381-1,1/15/2014,2014,Sanjit Engle,"12 Princess Hwy,Sylvania",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Emerson LQ-870 Dot Matrix Printer,Technology,Jumbo Drum,1,$219.61 ,$535.64 ,$316.03 ,$523.56 
5383-1,1/17/2014,2014,Patrick OBrill,27/580 Hay Street,Perth,WA,Home Office,Tina Carlton,Critical,Artisan 48 Labels,Office Supplies,Small Box,32,$3.84 ,$6.30 ,$2.46 ,$194.04 
5384-1,1/23/2014,2014,Mark Van Huff,"1 John Street,Waterloo",Sydney,NSW,Home Office,Charlie Bui,Not Specified,Binder Clips by OIC,Office Supplies,Wrap Bag,27,$0.93 ,$1.48 ,$0.55 ,$40.66 
5386-1,1/24/2014,2014,Helen Andreada,"470 Anzac Parade,Kingsford",Sydney,NSW,Corporate,Tina Carlton,High,Emerson C82 Color Inkjet Printer,Technology,Jumbo Drum,13,$76.79 ,$119.99 ,$43.20 ,"$1,511.48 "
5388-1,1/25/2014,2014,Darrin Van Huff,"53-55 Liverpool St,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,27,$1.09 ,$2.60 ,$1.51 ,$66.28 
5389-1,1/26/2014,2014,Sarah Jordon,"180 High Street,Windsor",Melbourne,VIC,Consumer,Connor Betts,Low,Aluminum Document Frame,Furniture,Small Pack,19,$5.50 ,$12.22 ,$6.72 ,$214.13 
5391-1,1/26/2014,2014,Bill Eplett,"18 Robinson Avenue, Perth",Sydney,NSW,Corporate,Tina Carlton,Critical,TechSavi Access Keyboard,Technology,Small Box,8,$10.07 ,$15.98 ,$5.91 ,$126.73 
5392-1,1/27/2014,2014,Ken Lonsdale,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,High,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,4,$5.33 ,$8.60 ,$3.27 ,$39.21 
5393-1,1/29/2014,2014,Michael Nguyen,"48 Albion St,Surry Hills",Sydney,NSW,Small Business,Natasha Song,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,27,$54.29 ,$90.48 ,$36.19 ,"$2,462.95 "
5394-1,1/30/2014,2014,Hilary Holden,"2a/285A Crown St,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,Artisan Legal 4-Ring Binder,Office Supplies,Small Box,31,$13.64 ,$20.98 ,$7.34 ,$593.34 
5395-1,1/30/2014,2014,Brooke Gillingham,"21 Wentworth St,Parramatta",Sydney,NSW,Small Business,Aanya Zhang,Medium,"Wirebound Message Book, 4 per Page",Office Supplies,Wrap Bag,2,$3.48 ,$5.43 ,$1.95 ,$10.72 
5396-1,2/2/2014,2014,Suzanne McNair,"Crown Complex,Southbank",Melbourne,VIC,Small Business,Connor Betts,Low,Colored Envelopes,Office Supplies,Small Box,20,$2.25 ,$3.69 ,$1.44 ,$70.40 
5398-1,2/3/2014,2014,Mathew Reese,"27 Greenfield Parade,Bankstown",Sydney,NSW,Small Business,Nicholas Fernandes,Critical,UGen Ultra Cordless Optical Suite,Technology,Small Box,15,$54.52 ,$100.97 ,$46.45 ,"$1,400.57 "
5400-1,2/5/2014,2014,Dennis Kane,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Small Business,Natasha Song,Medium,Cando PC940 Copier,Technology,Jumbo Drum,39,$278.99 ,$449.99 ,$171.00 ,"$16,194.64 "
5402-1,2/7/2014,2014,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,HFX LaserJet 3310 Copier,Technology,Large Box,48,$377.99 ,$599.99 ,$222.00 ,"$26,520.05 "
5402-2,2/7/2014,2014,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Low,Unpadded Memo Slips,Office Supplies,Wrap Bag,11,$2.59 ,$3.98 ,$1.39 ,$42.37 
5404-1,2/9/2014,2014,Susan MacKendrick,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Low,Artisan Poly Binder Pockets,Office Supplies,Small Box,42,$2.26 ,$3.58 ,$1.32 ,$154.33 
5405-1,2/10/2014,2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Critical,1726 Digital Answering Machine,Technology,Medium Box,42,$8.82 ,$20.99 ,$12.17 ,$824.68 
5407-1,2/10/2014,2014,Elpida Rittenbach,"163 Concord Road,North Strathfield",Sydney,NSW,Consumer,Charlie Bui,Low,Ames Color-File Green Diamond Border X-ray Mailers,Office Supplies,Small Box,9,$52.07 ,$83.98 ,$31.91 ,$723.04 
5409-1,2/12/2014,2014,Julie Prescott,"438 Victoria Avenue,Chatswood",Sydney,NSW,Home Office,Natasha Song,High,Cando PC940 Copier,Technology,Large Box,5,$216.00 ,$449.99 ,$233.99 ,"$2,229.44 "
5411-1,2/13/2014,2014,Steve Nguyen,"61 York St,Sydney",Sydney,NSW,Consumer,Leighton Forrest,High,Artisan Hi-Liter Pen Style Six-Color Fluorescent Set,Office Supplies,Wrap Bag,31,$2.16 ,$3.85 ,$1.69 ,$109.31 
5413-1,2/15/2014,2014,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Medium,Blackstonian Pencils,Office Supplies,Wrap Bag,19,$1.15 ,$2.67 ,$1.52 ,$50.07 
5415-1,2/15/2014,2014,Yana Sorensen,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Creator Colored Pencils,Office Supplies,Wrap Bag,44,$1.57 ,$3.28 ,$1.71 ,$145.30 
5416-1,2/16/2014,2014,Pamela Coakley,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Technology,Medium Box,24,$8.82 ,$20.99 ,$12.17 ,$503.53 
5418-1,2/22/2014,2014,Amy Cox,"101/12 Victoria Ave, Perth",Sydney,NSW,Corporate,Aanya Zhang,Critical,Apex Box Cutter Scissors,Office Supplies,Small Pack,9,$4.19 ,$10.23 ,$6.04 ,$90.31 
5420-1,2/22/2014,2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,VIC,Consumer,Yvette Biti,High,Binder Clips by OIC,Office Supplies,Wrap Bag,46,$0.93 ,$1.48 ,$0.55 ,$68.78 
5421-1,2/22/2014,2014,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Corporate,Natasha Song,High,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,13,$21.56 ,$35.94 ,$14.38 ,$459.86 
5423-1,2/23/2014,2014,Erica Hackney,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,Yvette Biti,Medium,TechSavi Cordless Navigator Duo,Technology,Small Box,45,$42.11 ,$80.98 ,$38.87 ,"$3,651.28 "
5424-1,2/24/2014,2014,Chad McGuire,"73 MacLeay St,Potts Point",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan Non-Stick Binders,Office Supplies,Small Box,6,$2.74 ,$4.49 ,$1.75 ,$27.62 
5426-1,2/24/2014,2014,Pauline Chand,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Not Specified,EcoTones Memo Sheets,Office Supplies,Wrap Bag,33,$2.52 ,$4.00 ,$1.48 ,$122.74 
5428-1,2/25/2014,2014,Bobby Elias,"37/59 Brewer Street, Perth",Melbourne,VIC,Small Business,Connor Betts,Not Specified,Creator Colored Pencils,Office Supplies,Wrap Bag,26,$1.57 ,$3.28 ,$1.71 ,$79.44 
5430-1,2/25/2014,2014,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Home Office,Charlie Bui,Critical,Steady Liquid Accent Highlighters,Office Supplies,Wrap Bag,33,$3.47 ,$6.68 ,$3.21 ,$215.33 
5432-1,2/28/2014,2014,Lena Radford,"4A Lyons St,Strathfield",Sydney,NSW,Small Business,Tina Carlton,Medium,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Wrap Bag,21,$0.90 ,$2.10 ,$1.20 ,$43.04 
5433-1,3/2/2014,2014,Edward Nazzal,"2a/285A Crown St,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Medium,Binding Machine Supplies,Office Supplies,Small Box,1,$18.38 ,$29.17 ,$10.79 ,$34.86 
5434-1,3/6/2014,2014,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,Connor Betts,Critical,Beekin 6 Outlet Metallic Surge Strip,Office Supplies,Small Box,32,$4.46 ,$10.89 ,$6.43 ,$318.13 
5435-1,3/10/2014,2014,Adam Hart,"2a/285A Crown St,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Artisan 481 Labels,Office Supplies,Small Box,1,$1.94 ,$3.08 ,$1.14 ,$3.82 
5436-1,3/11/2014,2014,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Medium,Airmail Envelopes,Office Supplies,Small Box,50,$52.04 ,$83.93 ,$31.89 ,"$3,796.84 "
5438-1,3/12/2014,2014,Matt Collister,1/20 Pendal Lane,Perth,WA,Home Office,Natasha Song,High,TechSavi Cordless Elite Duo,Technology,Small Box,5,$60.59 ,$100.98 ,$40.39 ,$501.98 
5439-1,3/13/2014,2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,Connor Betts,Low,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,34,$3.75 ,$7.08 ,$3.33 ,$235.85 
5440-1,3/15/2014,2014,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Critical,Binder Posts,Office Supplies,Small Box,45,$3.50 ,$5.74 ,$2.24 ,$263.31 
5442-1,3/17/2014,2014,Troy Blackwell,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Home Office,Mihael Khan,Critical,12 Colored Short Pencils,Office Supplies,Wrap Bag,43,$1.09 ,$2.60 ,$1.51 ,$113.08 
5444-1,3/17/2014,2014,Carl Ludwig,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,Leighton Forrest,Not Specified,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,25,$8.92 ,$29.74 ,$20.82 ,$750.14 
5445-1,3/17/2014,2014,Chad Cunningham,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,Smiths Colored Bar Computer Paper,Office Supplies,Small Box,21,$21.97 ,$35.44 ,$13.47 ,$749.16 
5446-1,3/19/2014,2014,Michael Paige,"506 Swan Street,Richmond",Melbourne,VIC,Small Business,Connor Betts,Critical,Artisan Poly Binder Pockets,Office Supplies,Small Box,39,$2.26 ,$3.58 ,$1.32 ,$145.09 
5448-1,3/21/2014,2014,Justin Ellison,"163 Concord Road,North Strathfield",Sydney,NSW,Home Office,Charlie Bui,Low,Artisan 481 Labels,Office Supplies,Small Box,5,$1.94 ,$3.08 ,$1.14 ,$15.47 
5449-1,3/28/2014,2014,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,Mihael Khan,High,Brown Kraft Recycled Envelopes,Office Supplies,Small Box,31,$11.04 ,$16.98 ,$5.94 ,$522.98 
5450-1,3/29/2014,2014,Ralph Knight,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Consumer,Charlie Bui,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,18,$4.53 ,$7.30 ,$2.77 ,$132.55 
5451-1,3/31/2014,2014,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,Nicholas Fernandes,Not Specified,DrawIt Colored Pencils,Office Supplies,Wrap Bag,1,$4.37 ,$9.11 ,$4.74 ,$10.45 
5453-1,4/1/2014,2014,Anne Pryor,"101 Murray Street, Perth",Sydney,NSW,Consumer,Aanya Zhang,Critical,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Pack,44,$16.80 ,$40.97 ,$24.17 ,"$1,667.46 "
5455-1,4/2/2014,2014,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,Small Box,39,$7.13 ,$20.98 ,$13.85 ,$790.91 
5456-1,4/2/2014,2014,Patrick Bzostek,"1/50-58 Hunter St,Sydney",Sydney,NSW,Consumer,Preston Senome,Critical,Barrel Sharpener,Office Supplies,Small Pack,41,$1.46 ,$3.57 ,$2.11 ,$146.15 
5457-1,4/3/2014,2014,Alex Grayson,"73 Lindsay Street, Perth",Sydney,NSW,Consumer,Radhya Staples,Medium,OIC Bulk Pack Metal Binder Clips,Office Supplies,Wrap Bag,46,$2.13 ,$3.49 ,$1.36 ,$159.69 
5458-1,4/4/2014,2014,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,Yvette Biti,Not Specified,Artisan 48 Labels,Office Supplies,Small Box,18,$3.84 ,$6.30 ,$2.46 ,$102.56 
5460-1,4/6/2014,2014,Steve Chapman,"1/50-58 Hunter St,Sydney",Sydney,NSW,Corporate,Preston Senome,Low,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",Office Supplies,Wrap Bag,31,$1.05 ,$1.95 ,$0.90 ,$60.87 
5461-1,4/7/2014,2014,Mike Kennedy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,Connor Betts,Critical,Bagged Rubber Bands,Office Supplies,Wrap Bag,35,$0.24 ,$1.26 ,$1.02 ,$40.83 
5463-1,4/7/2014,2014,Carlos Daly,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Home Office,Charlie Bui,Not Specified,Emerson Stylus 1520 Color Inkjet Printer,Technology,Jumbo Drum,31,$315.61 ,$500.97 ,$185.36 ,"$14,667.57 "
5465-1,4/7/2014,2014,Harold Dahlen,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Medium,HFX LaserJet 3310 Copier,Technology,Large Box,30,$377.99 ,$599.99 ,$222.00 ,"$16,404.22 "
5467-1,4/11/2014,2014,Brenda Bowman,"73 York St,Sydney",Sydney,NSW,Small Business,Tina Carlton,Medium,12 Colored Short Pencils,Office Supplies,Wrap Bag,2,$1.09 ,$2.60 ,$1.51 ,$7.44 
5469-1,4/15/2014,2014,Xylona Price,"98-104 Parramatta Rd,Camperdown",Sydney,NSW,Corporate,Phoebe Gour,High,TechSavi Internet Navigator Keyboard,Technology,Small Box,36,$6.51 ,$30.98 ,$24.47 ,"$1,121.78 "
5470-1,4/17/2014,2014,Kelly Collister,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,Yvette Biti,High,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,11,$4.59 ,$7.28 ,$2.69 ,$85.62 
5471-1,4/17/2014,2014,Dean Percer,"222 Barkly St,St Kilda",Melbourne,VIC,Home Office,Yvette Biti,Medium,Apex Box Cutter Scissors,Office Supplies,Small Pack,22,$4.19 ,$10.23 ,$6.04 ,$213.99 
5473-1,4/17/2014,2014,Anemone Ratner,"32 Wellington Street, Perth",Sydney,NSW,Small Business,Stevie Bacata,Critical,Apex Elite Stainless Steel Scissors,Office Supplies,Small Pack,16,$3.42 ,$8.34 ,$4.92 ,$130.74 
5475-1,5/2/2014,2014,Brian Stugart,"88 Oxford St,Woollahra",Sydney,NSW,Consumer,Charlie Bui,Low,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Small Box,32,$84.22 ,$210.55 ,$126.33 ,"$6,073.83 "
5476-1,5/2/2014,2014,Michelle Tran,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Alto Perma 3000 Stacking Storage Drawers,Office Supplies,Small Box,14,$7.13 ,$20.98 ,$13.85 ,$269.77 
5477-1,5/2/2014,2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,Critical,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Wrap Bag,15,$2.29 ,$3.58 ,$1.29 ,$52.65 
5478-1,5/3/2014,2014,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,Yvette Biti,Low,Steady Liquid Accent Tank-Style Highlighters,Office Supplies,Wrap Bag,48,$1.31 ,$2.84 ,$1.53 ,$123.62 
5479-1,5/6/2014,2014,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,25,$2.26 ,$3.58 ,$1.32 ,$94.97 
5479-2,5/6/2014,2014,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,Tina Carlton,Not Specified,Assorted Color Push Pins,Office Supplies,Wrap Bag,45,$0.87 ,$1.81 ,$0.94 ,$75.68 
5483-1,5/8/2014,2014,Ritsa Hightower,22 St Georges Terrace,Perth,WA,Corporate,Natasha Song,Low,Binder Clips by OIC,Office Supplies,Wrap Bag,33,$0.93 ,$1.48 ,$0.55 ,$46.12 
5485-1,5/8/2014,2014,Michelle Moray,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Low,Economy Binders,Office Supplies,Small Box,40,$1.33 ,$2.08 ,$0.75 ,$84.69 
5487-1,5/9/2014,2014,Jim Radford,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Critical,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Large Box,44,$56.16 ,$136.98 ,$80.82 ,"$5,569.44 "
5489-1,5/11/2014,2014,Aleksandra Gannaway,"508/130 Mounts Bay Road, Perth",Perth,WA,Corporate,Tina Carlton,Medium,Lumi Crayons,Office Supplies,Wrap Bag,20,$5.22 ,$9.85 ,$4.63 ,$190.00 
5491-1,5/13/2014,2014,Jennifer Patt,"523 King St,Newtown",Sydney,NSW,Home Office,Aanya Zhang,Not Specified,Alto 3-Hole Punch,Office Supplies,Small Box,29,$2.76 ,$4.38 ,$1.62 ,$123.07 
5493-1,5/15/2014,2014,Eric Barreto,14 Money Street,Perth,WA,Consumer,Phoebe Gour,Medium,Artisan 481 Labels,Office Supplies,Small Box,9,$1.94 ,$3.08 ,$1.14 ,$28.43 
5494-1,5/17/2014,2014,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,20,$5.19 ,$12.98 ,$7.79 ,$252.36 
5496-1,5/19/2014,2014,Richard Eichhorn,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,Medium,Aluminum Document Frame,Furniture,Small Pack,18,$5.50 ,$12.22 ,$6.72 ,$214.01 
5497-1,5/19/2014,2014,Juliana Krohn,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,Samantha Chairs,Low,Smiths Bulldog Clip,Office Supplies,Wrap Bag,15,$2.31 ,$3.78 ,$1.47 ,$55.71 
5498-1,5/25/2014,2014,Clytie Kelty,"8 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Radhya Staples,Low,Cando PC940 Copier,Technology,Jumbo Drum,47,$278.99 ,$449.99 ,$171.00 ,"$19,083.58 "
5500-1,5/29/2014,2014,Ken Dana,"73 York St,Sydney",Sydney,NSW,Corporate,Tina Carlton,Low,Adesso Programmable 142-Key Keyboard,Technology,Small Box,49,$32.02 ,$152.48 ,$120.46 ,"$7,251.37 "
5502-1,5/29/2014,2014,Andy Yotov,"31 Wellington Street, Perth",Sydney,NSW,Corporate,Natasha Song,High,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,26,$13.88 ,$22.38 ,$8.50 ,$556.25 
5504-1,5/29/2014,2014,Melanie Page,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Smiths SlimLine Pencil Sharpener,Office Supplies,Small Pack,46,$4.79 ,$11.97 ,$7.18 ,$517.89 
5505-1,6/2/2014,2014,Arthur Gainer,"14/76 Newcastle Street, Perth",Melbourne,VIC,Corporate,Connor Betts,Critical,1726 Digital Answering Machine,Technology,Medium Box,10,$8.82 ,$20.99 ,$12.17 ,$214.71 
5506-1,6/3/2014,2014,Jeremy Lonsdale,"163 Concord Road,North Strathfield",Sydney,NSW,Corporate,Charlie Bui,Not Specified,"Creator Anti Dust Chalk, 12/Pack",Office Supplies,Wrap Bag,40,$1.09 ,$1.82 ,$0.73 ,$66.52 
5507-1,6/3/2014,2014,Christopher Martinez,33 Wellington Street,Perth,WA,Small Business,Tina Carlton,High,Steady Major Accent Highlighters,Office Supplies,Wrap Bag,45,$3.75 ,$7.08 ,$3.33 ,$301.83 
5508-1,6/4/2014,2014,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Consumer,Radhya Staples,High,Deluxe Rollaway Locking File with Drawer,Office Supplies,Small Box,43,$178.83 ,$415.88 ,$237.05 ,"$16,642.41 "
5510-1,6/4/2014,2014,Dianna Wilson,"310 Wattle St,Ultimo",Sydney,NSW,Small Business,Aanya Zhang,Not Specified,UGen Ultra Professional Cordless Optical Suite,Technology,Small Box,6,$156.50 ,$300.97 ,$144.47 ,"$1,740.77 "
5512-1,6/5/2014,2014,Lindsay Castell,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Corporate,Phoebe Gour,Medium,Xit Blank Computer Paper,Office Supplies,Small Box,10,$12.39 ,$19.98 ,$7.59 ,$185.59 
5513-1,6/7/2014,2014,Chuck Sachs,"1/41B Elizabeth Bay Rd,Elizabeth Bay",Sydney,NSW,Consumer,Charlie Bui,Medium,Cando PC940 Copier,Technology,Jumbo Drum,5,$278.99 ,$449.99 ,$171.00 ,"$2,276.45 "
5514-1,6/8/2014,2014,John Lee,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Not Specified,Artisan Poly Binder Pockets,Office Supplies,Small Box,44,$2.26 ,$3.58 ,$1.32 ,$153.54 
5516-1,6/9/2014,2014,Anthony Rawles,"14 Money Street, Perth",Perth,WA,Small Business,Mihael Khan,High,3Max Polarizing Light Filter Sleeves,Furniture,Small Pack,18,$11.38 ,$18.65 ,$7.27 ,$305.90 
5518-1,6/13/2014,2014,Fred Chung,"81 MacLeay St,Potts Point",Sydney,NSW,Corporate,Samantha Chairs,Low,Smiths Colored Interoffice Envelopes,Office Supplies,Small Box,46,$19.83 ,$30.98 ,$11.15 ,"$1,387.59 "
5520-1,6/16/2014,2014,Julie Prescott,"438 Victoria Avenue,Chatswood",Sydney,NSW,Home Office,Natasha Song,Low,Smiths Standard Envelopes,Office Supplies,Small Box,32,$3.52 ,$5.68 ,$2.16 ,$164.97 
5521-1,6/17/2014,2014,Edward Becker,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Medium,Smiths General Use 3-Ring Binders,Office Supplies,Small Box,19,$1.18 ,$1.88 ,$0.70 ,$34.71 
5523-1,6/18/2014,2014,Bill Donatelli,"8 Orange Street, Perth",Perth,WA,Corporate,Phoebe Gour,High,"Message Book, One Form per Page",Office Supplies,Wrap Bag,39,$2.41 ,$3.71 ,$1.30 ,$137.94 
5525-1,6/18/2014,2014,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Critical,"Adams ""While You Were Out"" Message Pads",Office Supplies,Wrap Bag,32,$1.88 ,$3.14 ,$1.26 ,$98.61 
5526-1,6/19/2014,2014,Barry Pond,"1/20 Pendal Lane, Perth",Melbourne,VIC,Consumer,Connor Betts,Medium,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Wrap Bag,48,$21.56 ,$36.55 ,$14.99 ,"$1,645.48 "
5527-1,6/19/2014,2014,Jim Mitchum,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Laser DVD-RAM discs,Technology,Small Pack,21,$20.18 ,$35.41 ,$15.23 ,$738.16 
5529-1,6/19/2014,2014,Bruce Degenhardt,"501 George St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,High,Multimedia Mailers,Office Supplies,Small Box,16,$99.39 ,$162.93 ,$63.54 ,"$2,366.18 "
5531-1,6/22/2014,2014,Luke Weiss,"88 Oxford St,Woollahra",Sydney,NSW,Corporate,Charlie Bui,Not Specified,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Large Box,17,$56.16 ,$136.98 ,$80.82 ,"$2,353.15 "
5533-1,6/22/2014,2014,Craig Leslie,"10 Bligh St,Melbourne",Melbourne,VIC,Consumer,Connor Betts,Medium,Artisan 478 Labels,Office Supplies,Small Box,24,$3.14 ,$4.91 ,$1.77 ,$117.16 
5534-1,6/23/2014,2014,Frank Hawley,"Shop 1 797 Botany Rd,Rosebery",Sydney,NSW,Home Office,Phoebe Gour,Medium,Artisan 474 Labels,Office Supplies,Small Box,8,$1.84 ,$2.88 ,$1.04 ,$22.42 
5536-1,6/25/2014,2014,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,Mihael Khan,Not Specified,Steady 52201 APSCO Electric Pencil Sharpener,Office Supplies,Small Pack,47,$16.80 ,$40.97 ,$24.17 ,"$1,819.04 "
5537-1,6/27/2014,2014,Alejandro Ballentine,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,High,Barrel Sharpener,Office Supplies,Small Pack,46,$1.46 ,$3.57 ,$2.11 ,$166.75 
5539-1,6/29/2014,2014,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Not Specified,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,50,$4.53 ,$7.30 ,$2.77 ,$365.42 
5539-2,6/29/2014,2014,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,Samantha Chairs,Not Specified,Smiths Paper Clips,Office Supplies,Wrap Bag,43,$1.53 ,$2.47 ,$0.94 ,$105.11 
5541-1,6/29/2014,2014,Christine Abelman,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Small Box,44,$1.59 ,$2.61 ,$1.02 ,$105.00 
5544-1,6/29/2014,2014,William Brown,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,TechSavi Cordless Access Keyboard,Technology,Small Box,20,$14.70 ,$29.99 ,$15.29 ,$605.30 
5546-1,6/30/2014,2014,Monica Federle,"834 Bourke St,Waterloo",Sydney,NSW,Corporate,Charlie Bui,Medium,Alto Perma 2700 Stacking Storage Drawers,Office Supplies,Small Box,4,$8.92 ,$29.74 ,$20.82 ,$119.65 
